Designator,Footprint,Quantity,Value,LCSC Part #
BT1,SbM-9202_14250_battery_holder,1,Battery_Cell,
"D1, D2, D3, D4, D5",Diode_DO-35_DO35_unprinted,5,Diode,
J1,BMS 1S,1,Conn_01x04_Socket,
"S1, S2, S3, S4, S5",Hotswap_MX_1.00u_reversible_18.5mm,5,Keyswitch,
SW1,SW_Vertical_Slide_5mm,1,SW_SPDT_312,
U1,Promicro_nrf52840,1,Promicro_NRF52840,
