Designator,Mid X,Mid Y,Rotation,Layer
BT1,201.1875,-83.25,180.0,top
D1,160.5775,-61.4575,0.0,top
Q1,176.4425,-62.6775,0.0,top
R2,168.665,-63.135,180.0,top
S1,166.5,-74.0,0.0,top
S2,185.0,-74.0,0.0,top
S3,203.5,-74.0,0.0,top
SW1,210.4375,-97.96875,90.0,top
TPS1,185.0,-111.0,0.0,bottom
U1,195.91,-71.6875,90.0,bottom
